summary_id,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total,total_time,total_charge_mC,total_charge_mAh,total_energy_mJ,total_current_mA
0,3211,78687,0,0,81888,81888,81898,46.22109163513183,0.012839192120869952,138.6632749053955,18.49340314415492
1,38433,780765,0,530,390,920,819198,3.233501174926759,0.0008981947708129886,9.700503524780277,0.1293403627694404
2,39432,779767,0,528,386,914,819199,3.2842748626708986,0.0009122985729641386,9.852824588012696,0.13137115487201523
3,38866,780334,0,529,384,913,819200,3.253043133544922,0.0009036230926513673,9.759129400634766,0.1301217253417969
4,39409,779792,0,531,388,919,819201,3.285747412109375,0.0009127076144748263,9.857242236328124,0.13142973604768549
5,38869,780331,0,529,389,918,819200,3.2560131561279295,0.0009044480989244248,9.768039468383789,0.13024052624511717
6,39562,779638,0,530,390,920,819200,3.29462133178711,0.0009151725921630862,9.883863995361331,0.1317848532714844
7,38703,780497,0,530,390,920,819200,3.2481192535400396,0.0009022553482055665,9.744357760620119,0.1299247701416016
8,39415,779784,0,527,385,912,819199,3.282262036132813,0.000911739454481337,9.846786108398438,0.13129064171220914
9,38706,780495,0,529,388,917,819201,3.2466284027099612,0.0009018412229749892,9.739885208129884,0.12986497758181448
10,39280,779920,0,531,390,921,819200,3.2798862304687497,0.0009110795084635416,9.83965869140625,0.13119544921874998
11,38710,780490,0,530,390,920,819200,3.2484981994628903,0.0009023606109619139,9.745494598388671,0.1299399279785156
12,39566,779634,0,530,390,920,819200,3.294837872314453,0.0009152327423095702,9.884513616943359,0.13179351489257812
13,38569,780631,0,531,390,921,819200,3.2413961517333987,0.0009003878199259441,9.724188455200196,0.12965584606933594
14,39400,779800,0,530,390,920,819200,3.285851440429688,0.0009127365112304689,9.857554321289063,0.13143405761718752
15,38718,780482,0,530,390,920,819200,3.2489312805175787,0.000902480911254883,9.746793841552737,0.12995725122070315
16,39438,779762,0,531,390,921,819200,3.2884395812988285,0.0009134554392496746,9.865318743896486,0.13153758325195314
17,38608,780592,0,531,390,921,819200,3.243507421875,0.0009009742838541666,9.730522265625,0.129740296875
18,39286,779914,0,530,390,920,819200,3.279680035400391,0.0009110222320556641,9.839040106201173,0.13118720141601564
