summary_id,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total,total_time,total_charge_mC,total_charge_mAh,total_energy_mJ,total_current_mA
0,3187,78694,0,0,81871,81871,81881,46.21023295288085,0.012836175820244681,138.63069885864255,18.49289717272627
1,38129,781069,0,365,370,735,819198,3.118197659301758,0.0008661660164727106,9.354592977905273,0.12472821088430391
2,38838,780362,0,363,373,736,819200,3.1572036193847657,0.0008770010053846571,9.471610858154296,0.12628814477539063
3,38111,781089,0,360,373,733,819200,3.116254360961914,0.0008656262113783095,9.348763082885743,0.12465017443847656
4,38824,780376,0,360,373,733,819200,3.1548527099609376,0.0008763479749891493,9.464558129882812,0.1261941083984375
5,38119,781082,0,360,373,733,819201,3.116688238525391,0.0008657467329237197,9.350064715576172,0.1246673773591585
6,38979,780220,0,360,380,740,819199,3.167173522949219,0.0008797704230414497,9.501520568847656,0.12668709556530222
7,38120,781080,0,360,375,735,819200,3.1178646240234373,0.000866073506673177,9.353593872070313,0.1247145849609375
8,38940,780260,0,360,372,732,819200,3.1605708618164066,0.0008779363505045574,9.48171258544922,0.12642283447265626
9,38418,780782,0,360,375,735,819200,3.133996893310547,0.0008705546925862631,9.401990679931641,0.12535987573242188
10,38954,780246,0,360,373,733,819200,3.1618902770996096,0.0008783028547498916,9.48567083129883,0.1264756110839844
11,38111,781089,0,360,374,734,819200,3.1168158843994145,0.0008657821901109485,9.350447653198243,0.12467263537597657
12,38956,780245,0,362,373,735,819201,3.1630613555908202,0.0008786281543307834,9.489184066772461,0.1265222997774661
13,38129,781071,0,360,380,740,819200,3.121159457397461,0.0008669887381659614,9.363478372192382,0.12484637829589844
14,38859,780341,0,361,380,741,819200,3.16120910949707,0.0008781136415269638,9.48362732849121,0.1264483643798828
15,38283,780917,0,360,380,740,819200,3.129496267700196,0.0008693045188056099,9.388488803100588,0.12517985070800783
16,38825,780374,0,361,376,737,819199,3.1571216247558596,0.0008769782290988499,9.471364874267579,0.1262850191467519
17,38151,781049,0,360,373,733,819200,3.1184197662353514,0.0008662277128431532,9.355259298706054,0.12473679064941406
18,38843,780357,0,360,374,734,819200,3.1564428009033203,0.000876789666917589,9.46932840270996,0.1262577120361328
19,38549,780651,0,360,375,735,819200,3.141088595581054,0.0008725246098836262,9.423265786743162,0.12564354382324217
20,38978,780222,0,361,374,735,819200,3.164282049560547,0.0008789672359890407,9.49284614868164,0.12657128198242187
